1,MARIA CARMEN,674181 ,52.8
2,MARIA,651441,49.1
3,CARMEN,431498,59.8
4,JOSEFA,311761,65.3
5,ISABEL,287762,55.2
6,ANA MARIA,279380,47.0
7,MARIA PILAR,269734,52.9
8,MARIA DOLORES,269287,52.7
9,MARIA TERESA,259988,53.0
10,ANA,258430,42.5
11,LAURA,251782,24.6
12,FRANCISCA,237276,62.1
13,MARIA ANGELES,231893,51.3
14,ANTONIA,230546,62.0
15,CRISTINA,230523,29.6
16,DOLORES,224929,64.5
17,MARTA,218763,25.7
18,MARIA ISABEL,206685,48.2
19,MARIA JOSE,205893,41.5
20,LUCIA,182126,22.4
21,MARIA LUISA,170531,57.3
22,PILAR,166727,61.0
23,CONCEPCION,163565,62.7
24,ELENA,161112,35.0
25,SARA,155625,22.1
26,MANUELA,153498,59.3
27,MERCEDES,152700,58.2
28,PAULA,150746,18.0
29,ROSA MARIA,148811,47.4
30,RAQUEL,148475,31.6
31,MARIA JESUS,143486,51.1
32,JUANA,134954,63.2
33,ROSARIO,134552,60.9
34,TERESA,134317,60.4
35,BEATRIZ,124889,33.1
36,ENCARNACION,123030,60.3
37,NURIA,120776,34.3
38,SILVIA,119961,31.6
39,ROSA,116994,62.5
40,JULIA,116773,43.6
41,MONTSERRAT,115072,50.4
42,PATRICIA,112720,27.2
43,IRENE,110123,24.6
44,ANDREA,104390,19.2
45,MONICA,103820,33.0
46,ROCIO,102978,25.6
47,ANGELA,100355,44.4
48,ALBA,100280,13.7
49,MARIA MAR,99977,38.6
50,SONIA,98181,32.5
51,SANDRA,97589,24.7
52,ALICIA,97510,36.3
53,MARGARITA,96964,56.7
54,SUSANA,96629,37.4
55,MARINA,94006,31.1
56,YOLANDA,93277,37.8
57,MARIA JOSEFA,92105,58.6
58,NATALIA,89633,24.5
59,MARIA ROSARIO,82267,54.6
60,INMACULADA,80834,39.3
61,ESTHER,77736,37.5
62,EVA,77390,29.6
63,MARIA MERCEDES,77315,50.6
64,ANGELES,76985,63.1
65,ANA ISABEL,76354,38.3
66,NOELIA,72034,23.4
67,VERONICA,71847,28.9
68,CLAUDIA,69594,14.1
69,AMPARO,68170,61.9
70,MARIA ROSA,65720,57.0
71,MARIA VICTORIA,64557,48.3
72,CAROLINA,64338,29.7
73,MARIA CONCEPCION,63110,58.0
74,EVA MARIA,62895,36.4
75,LORENA,61423,23.4
76,NEREA,60942,14.6
77,VICTORIA,60896,48.6
78,ANA BELEN,60689,32.8
79,CATALINA,60319,59.1
80,CARLA,60071,10.3
81,MARIA ELENA,60006,44.9
82,MIRIAM,59652,22.6
83,CONSUELO,59509,64.1
