1,ANTONIO,739523 ,53.6
2,JOSE,672826,59.2
3,MANUEL,638001,53.2
4,FRANCISCO,550394,55.1
5,JUAN,381245,54.3
6,DAVID,356516,27.0
7,JOSE ANTONIO,319396,45.7
8,JOSE LUIS,307045,49.4
9,JAVIER,300699,29.6
10,JESUS,290359,46.0
11,FRANCISCO JAVIER,290153,40.2
12,DANIEL,281490,24.7
13,CARLOS,279683,35.9
14,MIGUEL,259195,45.2
15,RAFAEL,249211,48.2
16,JOSE MANUEL,248591,43.3
17,ALEJANDRO,244789,23.3
18,PEDRO,242886,51.8
19,ANGEL,231405,48.8
20,MIGUEL ANGEL,229191,39.4
21,JOSE MARIA,220984,50.6
22,FERNANDO,213727,45.8
23,LUIS,208403,50.4
24,PABLO,202566,25.8
25,SERGIO,199034,24.6
26,JORGE,188421,31.0
27,ALBERTO,180199,33.5
28,JUAN CARLOS,162640,40.9
29,JUAN JOSE,158561,45.1
30,DIEGO,144110,31.3
31,ALVARO,143388,19.6
32,ADRIAN,138931,16.4
33,JUAN ANTONIO,138272,45.2
34,ENRIQUE,137444,47.3
35,RAUL,136953,27.5
36,RAMON,136277,55.2
37,VICENTE,133471,56.3
38,IVAN,128189,21.5
39,RUBEN,122875,23.5
40,ANDRES,122169,45.4
41,JOAQUIN,121779,51.8
42,OSCAR,121424,30.0
43,JUAN MANUEL,115790,42.2
44,SANTIAGO,114500,45.6
45,EDUARDO,110259,41.8
46,VICTOR,103452,28.1
47,ROBERTO,98743,36.3
48,JAIME,98151,39.5
49,FRANCISCO JOSE,95871,37.1
50,IGNACIO,92140,36.9
51,MARIO,90056,23.5
52,ALFONSO,90027,48.3
53,SALVADOR,87680,50.9
54,RICARDO,86235,45.9
55,JORDI,83427,35.7
56,MARCOS,82509,23.2
57,EMILIO,80125,54.5
58,JULIAN,74286,54.6
59,JULIO,72922,52.4
60,GUILLERMO,70327,32.3
61,TOMAS,70110,52.0
62,GABRIEL,69284,36.6
63,AGUSTIN,68740,53.3
64,JOSE MIGUEL,65931,40.9
65,FELIX,62378,55.9
66,JOSE RAMON,61362,48.5
67,GONZALO,61000,31.1
68,MARC,60795,17.6
69,MOHAMED,59899,32.9
70,JOAN,57114,40.7
71,HUGO,54000,8.7
72,ISMAEL,53867,26.3
73,CRISTIAN,52692,19.7
74,NICOLAS,51715,30.8
75,MARIANO,50826,57.8
76,JOSEP,50387,51.6
77,DOMINGO,50162,58.5
78,SAMUEL,48576,18.4
79,JUAN FRANCISCO,48440,41.9
80,ALFREDO,46813,49.9
81,SEBASTIAN,46533,48.1
82,AITOR,45900,19.5
83,JOSE CARLOS,45835,38.8
84,MARTIN,45492,37.3
85,FELIPE,44371,52.4
86,CESAR,42841,37.1
87,HECTOR,41806,18.9
88,JOSE ANGEL,41168,40.2
89,JOSE IGNACIO,40461,45.0
90,VICTOR MANUEL,39580,35.5
91,GREGORIO,38409,58.9
92,LUIS MIGUEL,37486,38.8
93,IKER,37202,11.4
94,JOSE FRANCISCO,35460,43.7
95,JUAN LUIS,35060,42.9
96,ALBERT,34128,29.8
97,LORENZO,34105,53.6
98,ALEX,34072,11.3
99,XAVIER,33911,30.0
100,RODRIGO,33456,21.2
101,ESTEBAN,32879,48.6
102,CRISTOBAL,32818,50.3
103,EUGENIO,31168,57.7
104,ANTONIO JOSE,31037,38.6
105,ARTURO,30303,42.6
106,LUCAS,30295,17.7
107,BORJA,29566,21.1
108,JOSE JAVIER,28034,40.8
109,JUAN MIGUEL,27355,41.3
110,VALENTIN,27238,52.6
111,JESUS MARIA,27206,49.7
112,JAUME,26835,43.9
113,ANTONIO JESUS,26503,32.1
114,PAU,26426,13.4
115,FRANCISCO MANUEL,26113,36.8
116,GERMAN,25967,42.1
117,ISAAC,25022,29.0
118,JONATHAN,24839,22.2
119,PEDRO JOSE,24649,41.3
120,JOSE VICENTE,24453,45.4
121,AARON,23938,11.7
122,MOHAMMED,23767,34.6
123,ADOLFO,23737,52.7
124,ABEL,23147,29.8
125,MOISES,23048,34.7
126,JUAN RAMON,22874,45.8
127,BENITO,22722,59.5
128,ISIDRO,22309,55.9
129,JUAN PEDRO,22231,43.2
130,AHMED,22005,39.7
131,CHRISTIAN,21941,19.1
132,MIKEL,21821,22.5
133,SERGI,21815,19.7
134,ASIER,21769,18.7
135,ERNESTO,21350,47.8
136,BERNARDO,21338,53.9
137,MANUEL JESUS,21190,35.1
138,ERIC,21157,13.1
139,JOEL,21154,12.3
140,GERARDO,20957,51.9
141,IÑIGO,20775,27.2
142,MATEO,20752,27.8
143,CARMELO,20413,54.2
144,PASCUAL,20058,57.0
145,MIQUEL,19657,38.1
146,FEDERICO,19603,52.0
147,ANTONIO MANUEL,19460,37.4
148,UNAI,19186,14.9
149,ISRAEL,18945,26.8
150,FRANCESC,18795,43.6
151,GERARD,18747,17.6
152,JON,18743,21.8
153,BARTOLOME,18267,56.7
154,MARCELINO,18166,61.2
155,ELOY,17945,38.5
156,ORIOL,17754,18.3
157,DARIO,17751,19.1
158,OMAR,17716,24.0
159,JESUS MANUEL,17552,41.3
160,JOSE ALBERTO,17531,38.7
161,JONATAN,17259,24.8
162,LUIS ALBERTO,17049,40.0
163,POL,16999,10.8
164,FERMIN,16954,55.3
165,JUAN JESUS,16934,39.1
166,BENJAMIN,16513,47.6
167,ARNAU,16484,11.4
168,AURELIO,16419,59.5
169,PERE,16409,48.8
170,IÑAKI,15966,33.3
171,IZAN,15924,4.9
172,LLUIS,15850,44.7
173,ANTONI,15779,44.8
174,JOSEP MARIA,15740,52.1
175,BRUNO,15629,20.2
176,CARLES,15327,32.9
177,PEDRO ANTONIO,15306,44.1
178,ELIAS,15270,42.2
179,EUSEBIO,15213,60.7
180,ROGER,15023,21.5
181,JACINTO,15003,59.3
182,JOSE ENRIQUE,14756,43.0
183,KEVIN,14717,14.4
184,ADRIA,14659,13.8
185,JUAN PABLO,14650,33.3
186,MARCO ANTONIO,14642,34.5
187,MATIAS,14626,46.5
188,CARLOS ALBERTO,14572,39.2
189,VICTORIANO,14524,61.6
190,ANGEL LUIS,14485,43.2
191,JERONIMO,14205,52.9
192,JUAN IGNACIO,14138,43.1
193,MARCO,13626,15.4
194,ISIDORO,13485,59.0
195,ALONSO,13460,34.7
196,FRANCISCO JESUS,13432,33.5
197,TEODORO,13329,62.2
198,DIONISIO,13211,61.0
199,ROMAN,13162,45.4
200,GUILLEM,13031,16.6
201,JOSE JUAN,12979,44.6
202,ALEXANDER,12975,24.6
